Name,Official Name,Currency,Capital,Region,Subregion,Demonym,Landlocked,Area
Cape Verde,Republic of Cabo Verde,CVE,Praia,Africa,Western Africa,Cape Verdian,FALSE,4033
Costa Rica,Republic of Costa Rica,CRC,San José,Americas,Central America,Costa Rican,FALSE,51100
Cuba,Republic of Cuba,CUC,Havana,Americas,Caribbean,Cuban,FALSE,109884
Christmas Island,Territory of Christmas Island,AUD,Flying Fish Cove,Oceania,Australia and New Zealand,Christmas Island,FALSE,135
Cayman Islands,Cayman Islands,KYD,George Town,Americas,Caribbean,Caymanian,FALSE,264
Cyprus,Republic of Cyprus,EUR,Nicosia,Europe,Eastern Europe,Cypriot,FALSE,9251
Czech Republic,Czech Republic,CZK,Prague,Europe,Eastern Europe,Czech,TRUE,78865
Germany,Federal Republic of Germany,EUR,Berlin,Europe,Western Europe,German,FALSE,357114
Djibouti,Republic of Djibouti,DJF,Djibouti,Africa,Eastern Africa,Djibouti,FALSE,23200
Dominica,Commonwealth of Dominica,XCD,Roseau,Americas,Caribbean,Dominican,FALSE,751
Denmark,Kingdom of Denmark,DKK,Copenhagen,Europe,Northern Europe,Danish,FALSE,43094
Dominican Republic,Dominican Republic,DOP,Santo Domingo,Americas,Caribbean,Dominican,FALSE,48671
Algeria,People's Democratic Republic of Algeria,DZD,Algiers,Africa,Northern Africa,Algerian,FALSE,2381741
Ecuador,Republic of Ecuador,USD,Quito,Americas,South America,Ecuadorean,FALSE,276841
Egypt,Arab Republic of Egypt,EGP,Cairo,Africa,Northern Africa,Egyptian,FALSE,1002450
Eritrea,State of Eritrea,ERN,Asmara,Africa,Eastern Africa,Eritrean,FALSE,117600
Western Sahara,Sahrawi Arab Democratic Republic,MAD,El Aaiún,Africa,Northern Africa,Sahrawi,FALSE,266000
Spain,Kingdom of Spain,EUR,Madrid,Europe,Southern Europe,Spanish,FALSE,505992
Estonia,Republic of Estonia,EUR,Tallinn,Europe,Northern Europe,Estonian,FALSE,45227
Ethiopia,Federal Democratic Republic of Ethiopia,ETB,Addis Ababa,Africa,Eastern Africa,Ethiopian,TRUE,1104300
Finland,Republic of Finland,EUR,Helsinki,Europe,Northern Europe,Finnish,FALSE,338424
Fiji,Republic of Fiji,FJD,Suva,Oceania,Melanesia,Fijian,FALSE,18272
Falkland Islands,Falkland Islands,FKP,Stanley,Americas,South America,Falkland Islander,FALSE,12173
France,French Republic,EUR,Paris,Europe,Western Europe,French,FALSE,551695
Faroe Islands,Faroe Islands,DKK,Tórshavn,Europe,Northern Europe,Faroese,FALSE,1393
Micronesia,Federated States of Micronesia,USD,Palikir,Oceania,Micronesia,Micronesian,FALSE,702
Gabon,Gabonese Republic,XAF,Libreville,Africa,Middle Africa,Gabonese,FALSE,267668
United Kingdom,United Kingdom of Great Britain and Northern Ireland,GBP,London,Europe,Northern Europe,British,FALSE,242900
Georgia,Georgia,GEL,Tbilisi,Asia,Western Asia,Georgian,FALSE,69700
Guernsey,Bailiwick of Guernsey,GBP,St. Peter Port,Europe,Northern Europe,Channel Islander,FALSE,78
Ghana,Republic of Ghana,GHS,Accra,Africa,Western Africa,Ghanaian,FALSE,238533
Gibraltar,Gibraltar,GIP,Gibraltar,Europe,Southern Europe,Gibraltar,FALSE,6
Guinea,Republic of Guinea,GNF,Conakry,Africa,Western Africa,Guinean,FALSE,245857
Guadeloupe,Guadeloupe,EUR,Basse-Terre,Americas,Caribbean,Guadeloupian,FALSE,1628
Gambia,Republic of the Gambia,GMD,Banjul,Africa,Western Africa,Gambian,FALSE,10689
Guinea-Bissau,Republic of Guinea-Bissau,XOF,Bissau,Africa,Western Africa,Guinea-Bissauan,FALSE,36125
Equatorial Guinea,Republic of Equatorial Guinea,XAF,Malabo,Africa,Middle Africa,Equatorial Guinean,FALSE,28051
Greece,Hellenic Republic,EUR,Athens,Europe,Southern Europe,Greek,FALSE,131990
Grenada,Grenada,XCD,St. George's,Americas,Caribbean,Grenadian,FALSE,344
Greenland,Greenland,DKK,Nuuk,Americas,Northern America,Greenlandic,FALSE,2166086
Guatemala,Republic of Guatemala,GTQ,Guatemala City,Americas,Central America,Guatemalan,FALSE,108889
French Guiana,Guiana,EUR,Cayenne,Americas,South America,,FALSE,83534
Guam,Guam,USD,Hagåtña,Oceania,Micronesia,Guamanian,FALSE,549
Guyana,Co-operative Republic of Guyana,GYD,Georgetown,Americas,South America,Guyanese,FALSE,214969
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,HKD,City of Victoria,Asia,Eastern Asia,Hong Konger,FALSE,1104
Honduras,Republic of Honduras,HNL,Tegucigalpa,Americas,Central America,Honduran,FALSE,112492
Croatia,Republic of Croatia,HRK,Zagreb,Europe,Southern Europe,Croatian,FALSE,56594
Haiti,Republic of Haiti,HTG,Port-au-Prince,Americas,Caribbean,Haitian,FALSE,27750
Hungary,Hungary,HUF,Budapest,Europe,Eastern Europe,Hungarian,TRUE,93028
Indonesia,Republic of Indonesia,IDR,Jakarta,Asia,South-Eastern Asia,Indonesian,FALSE,1904569
Isle of Man,Isle of Man,GBP,Douglas,Europe,Northern Europe,Manx,FALSE,572
India,Republic of India,INR,New Delhi,Asia,Southern Asia,Indian,FALSE,3287590
British Indian Ocean Territory,British Indian Ocean Territory,USD,Diego Garcia,Africa,Eastern Africa,Indian,FALSE,60
Ireland,Republic of Ireland,EUR,Dublin,Europe,Northern Europe,Irish,FALSE,70273
Iran,Islamic Republic of Iran,IRR,Tehran,Asia,Southern Asia,Iranian,FALSE,1648195
Iraq,Republic of Iraq,IQD,Baghdad,Asia,Western Asia,Iraqi,FALSE,438317
Iceland,Iceland,ISK,Reykjavik,Europe,Northern Europe,Icelander,FALSE,103000
Israel,State of Israel,ILS,Jerusalem,Asia,Western Asia,Israeli,FALSE,20770
Italy,Italian Republic,EUR,Rome,Europe,Southern Europe,Italian,FALSE,301336
Jamaica,Jamaica,JMD,Kingston,Americas,Caribbean,Jamaican,FALSE,10991
Jersey,Bailiwick of Jersey,GBP,Saint Helier,Europe,Northern Europe,Channel Islander,FALSE,116
Jordan,Hashemite Kingdom of Jordan,JOD,Amman,Asia,Western Asia,Jordanian,FALSE,89342
Japan,Japan,JPY,Tokyo,Asia,Eastern Asia,Japanese,FALSE,377930
Kazakhstan,Republic of Kazakhstan,KZT,Astana,Asia,Central Asia,Kazakhstani,TRUE,2724900
Kenya,Republic of Kenya,KES,Nairobi,Africa,Eastern Africa,Kenyan,FALSE,580367
Kyrgyzstan,Kyrgyz Republic,KGS,Bishkek,Asia,Central Asia,Kirghiz,TRUE,199951
Cambodia,Kingdom of Cambodia,KHR,Phnom Penh,Asia,South-Eastern Asia,Cambodian,FALSE,181035
Kiribati,Independent and Sovereign Republic of Kiribati,AUD,South Tarawa,Oceania,Micronesia,I-Kiribati,FALSE,811
